,CNN,one,first,two,the United States,three,000,2016,four,1,five,2014,2017,dates
06/2015,0.000596,0.007731,0.018889,-0.031098,0.340958,-0.045412,-0.023746,0.049016,-0.044098000000000005,0.017797999999999998,-0.074393,0.036535000000000005,0.0,06/2015
02/2015,-0.013226,-0.023301,0.06518,-0.0457,0.3612483287671233,-0.091456,-0.035282,0.110927,-0.112927,-8.8e-05,-0.139679,0.024005,0.123475,02/2015
01/2016,0.0,0.212408,0.0,-0.0381,0.4215,0.400883,0.3592,-0.161519,0.0,-0.34435,0.2083,0.0,0.836,01/2016
12/2015,-0.11761,-0.08832899999999999,-0.119767,-0.418231,0.4215,-0.391569,-0.29600000000000004,-0.09435,-0.331355,0.0,-0.370748,-0.1319,0.06817999999999999,12/2015
07/2014,0.0,0.4215,0.091507,0.69484,-0.4019,0.3825,0.0,0.002867,0.572167,0.0,0.4588,0.138486,-0.2235,07/2014
06/2014,0.0,-0.1366,0.087043,-0.441356,0.405211,-0.131767,-0.272533,0.019264,-0.025203,0.0,-0.8957,-0.07219400000000001,0.0,06/2014
11/2015,-0.08807999999999999,-0.015763,0.156,0.0,0.32563200000000003,0.0,0.03582,0.05768400000000001,-0.034946,-0.6705,-0.081764,-0.050443,0.03941,11/2015
06/2017,-0.002196,-0.012545,0.043639,-0.051871,-0.29600000000000004,-0.151772,-0.048454,0.3612,0.0,-0.019766,-0.049388,-0.032369,0.08757999999999999,06/2017
08/2016,0.006318,0.065348,0.07557,-0.047064,0.4215,-0.009873,0.0,-0.284746,-0.1645,0.007464,-0.38585,0.0,-0.152933,08/2016
11/2014,0.06554299999999999,0.0683,0.033438,0.026178,-0.1017,0.1909,-0.05244,0.29295,0.270867,0.4019,-0.24945,0.047887,0.0546,11/2014
09/2014,0.0,-0.156664,0.2263,0.0,0.3785700452488688,-0.0237,-0.034511,0.032367,-0.114826,-0.171456,-0.02254,-0.018113,0.095175,09/2014
08/2014,0.0071400000000000005,0.0,-0.060256,-0.11991800000000001,None,0.5356,None,None,None,0.004157,None,None,None,08/2014
10/2015,0.0,0.4767,0.393633,-0.005887,0.329025,-0.01699,-0.3182,-0.046193,0.0386,None,0.3818,-0.2553,0.0,10/2015
02/2014,0.0,-0.010776,0.016804,None,0.049275,None,0.133967,0.0,0.036556,0.0,0.0,0.0,0.018905,02/2014
12/2016,0.021564,None,None,0.003744,0.4215,-0.3324,0.0,-0.028775,-0.6596,0.03515,0.0,0.1591,0.023372999999999998,12/2016
09/2015,None,-0.023712,-0.0289,0.0,0.3544,0.0,-0.0929,0.017434,-0.5574,0.0,-0.147347,-0.018774000000000002,0.023712999999999998,09/2015
05/2016,0.015667,-0.11175,0.11438,-0.1569,0.327201,-0.21144,-0.003242,0.029682,-0.06706799999999999,-0.046638,0.017398,-0.02511,-0.033714999999999995,05/2016
04/2016,0.0749,-0.015609,0.0,-0.4939,0.363172,-0.012078,-0.013789,-0.00402,-0.033513,-0.013191999999999999,-0.060644,-0.058846,None,04/2016
03/2016,0.018125,0.6808,0.016248,-0.009158,0.39521799999999996,-0.025445,-0.041441000000000006,None,-0.047981,0.002763,0.021884999999999998,-0.032596,0.069253,03/2016
05/2014,-0.034727,-0.008636,0.015991,-0.035598000000000005,None,-0.055577999999999995,-0.010034999999999999,0.03352,-0.07145599999999999,-0.062329999999999997,None,-0.049547,0.0,05/2014
01/2017,0.009687000000000001,-0.000621,0.020891,-0.043423,0.37388899999999997,-0.022318,None,0.032714,None,-0.027667,-0.062662,None,-0.082268,01/2017
02/2017,0.010212,-0.002648,-0.004581,-0.023604,0.318079,None,-0.035432,0.019687,-0.079726,None,-0.11359200000000001,-0.048988,0.00645,02/2017
05/2017,0.015666,0.008589,None,None,0.33365,-0.034374,-0.067129,0.044427,-0.016051,0.059128999999999994,-0.031121,-0.068812,0.0,05/2017
03/2017,0.01882,None,0.034688,-0.026983,0.35928899999999997,-0.022202,0.0,0.035245,-0.064122,0.018775999999999998,-0.10237,-0.009685,0.4215,03/2017
07/2017,None,-0.002135,0.027797000000000002,-0.007745,0.287067,-0.081978,0.00346,-0.10115,-0.055143,-0.023563999999999998,0.015575,0.008319,0.012915000000000001,07/2017
11/2016,0.003493,-0.020414,0.02383,-0.02904,0.241667,-0.102433,-0.015006,0.031266,-0.048084,0.045444,0.39225,-0.009509,0.0,11/2016
09/2016,0.00249,0.002765,0.002177,-0.045874,0.337895,-0.124616,0.013088999999999998,0.28595,-0.10115,0.002757,-0.159002,0.07224,-0.4995,09/2016
02/2016,0.0,-0.011313,0.014984,-0.013775,0.40348,-0.1423,-0.4158,-0.261167,-0.089367,-0.29295,-0.5574,-0.036092,-0.0457,02/2016
04/2017,0.002729408472012103,0.002367,0.175567,0.0,0.4215,-0.029084,-0.051651,-0.01685,0.20095,0.011890999999999999,-0.4404,-0.09186699999999999,None,04/2017
03/2015,-0.004973,0.012364,0.037268,-0.047323000000000004,0.359333,0.066867,0.0,None,0.2294,0.067433,None,-0.029479,-0.0655,03/2015
06/2016,-0.001987,-0.022813999999999997,0.101333,0.035552,None,-0.288775,None,0.01906,None,-0.6705,-0.279721,None,0.260567,06/2016
01/2014,0.08202000000000001,-0.055687,0.034233,0.38585,0.350204,None,-0.083315,0.030625,-0.075597,None,-0.100495,-0.000625,0.003914,01/2014
10/2016,-0.000773,-0.206082,0.163525,0.011392,0.360285,-0.145575,-0.046947,0.025589,-0.233839,-0.048466,-0.093235,-0.008499,-0.075433,10/2016
12/2014,-0.007162000000000001,None,None,None,0.35339,-0.10675899999999999,-0.017901,0.011595000000000001,-0.062053,0.0152,-0.036293,0.013058000000000002,0.0,12/2014
10/2014,0.0,-0.02847,0.013035,-0.06306,0.296785,-0.084964,0.0004730000000000001,0.032567,-0.045155,-0.008475,-0.034234,-0.028625,0.216367,10/2014
03/2014,0.0,-0.0004980000000000001,-0.013454,-0.091469,0.341931,-0.002109,-0.054391,-0.164633,-0.041705,0.01671,-0.07636,0.016548,,03/2014
04/2014,None,-0.030575,-0.0075569999999999995,-0.049201,0.396413,-0.04054,-0.044048000000000004,,-0.167625,-0.039436,,-0.132825,,04/2014
07/2016,-0.006540000000000001,-0.027379,0.022722,-0.022795,,0.057538,,,,0.123809,,,,07/2016
01/2015,-0.016988999999999997,-0.022039,0.032676,-0.023537,,,,,,,,,,01/2015
04/2015,-0.011282,-0.019386,-0.018575,-0.060912,,,,,,,,,,04/2015
07/2015,0.009498,,,,,,,,,,,,,07/2015
05/2015,-0.00285,,,,,,,,,,,,,05/2015
08/2015,0.013323,,,,,,,,,,,,,08/2015
